business_id,labels
003sg,1 2   5 6  8
00er5,3   6  8
00kad,5 6  8
00mc6,5 6  8
00q7x,2   5 6  8
00v0t,1 2   5 6
00y7p,5 6  8
019fg,1 2   5 6  8
019r1,2   5 6  8
01i5j,5 6  8
01is9,2 3  5 6  8
01mrb,1 2 3  5 6  8
01pyb,5 6  8
01s0p,2 3  5 6  8
01xsq,1 2 3  5 6  8
021oz,3  5 6  8
026nc,1 2   5 6  8
02bwy,1 2 3  5 6  8
02d9t,3  5 6  8
02eos,1 2   5 6  8
02fio,2 3  5 6  8
02pxt,1  3  5 6  8
02qrp,5 6  8
02rfd,5 6  8
0357u,2   5 6  8
035x6,2   5 6  8
038l4,5 6  8
03bbu,1  3  5 6  8
03ked,5 6  8
03m8y,5 6  8
03vx8,1  3  5 6  8
03yz9,1  3  5 6  8
040nh,2 3  5 6  8
042hy,2   5 6  8
044sl,1 2 3  5 6  8
045qe,5 6  8
04944,5 6  8
04cy7,2   5 6  8
04ilw,2 3  5 6  8
04imx,2 3  5 6
04kgm,2 3  5 6  8
04ud9,1    5 6  8
04wn2,1 2   5 6  8
04zgs,1    5 6  8
050l6,1 2   5 6  8
0573e,1 2   5 6  8
057qc,3  5 6
05fb2,5 6  8
05h9r,3  5 6  8
05ihx,1 2 3  5 6  8
05jhx,1 2   5 6  8
05rwc,1 2 3  5 6  8
06cko,5 6  8
06fzh,2 3  5 6  8
06gbm,2   5 6  8
06ml0,2   5 6  8
06p0g,2   5 6  8
06ums,5 6  8
06vhp,2   5 6  8
0707d,1 2   5 6
070ll,5 6  8
077lb,2 3  5 6  8
07bbs,2 3  5 6  8
07gmf,2   5 6  8
07nri,2 3  5 6  8
07o52,2   5 6  8
084gg,2 3  5 6  8
084v2,2 3  5 6  8
08dzw,3  5 6  8
08h8f,2 3  5 6  8
08ni5,1 2   5 6  8
08oeq,2 3  5 6  8
08wfz,1 2 3  5 6  8
0916a,1    5 6  8
092lt,2 3  5 6  8
098ef,2 3  5 6  8
098un,1 2   5 6  8
09ckq,3  5 6  8
09ejq,2   5 6  8
09iat,3  5 6  8
09kll,2 3  5 6  8
09pmi,3  5 6  8
09ptq,3  5 6  8
09w5k,1    5 6  8
0a1ko,1  3  5 6  8
0a45c,1    5 6  8
0a938,5 6  8
0adc9,2 3  5 6  8
0adst,1 2   5 6  8
0ahhr,2 3  5 6  8
0aj6u,2 3  5 6  8
0akmq,1 2 3  5 6  8
