business_id,labels
003sg,1 2  4 5 6
00er5,1 2  4 5 6 7
00kad,0 1     6  8
00mc6,0 1       8
00q7x,1 2  4 5 6 7
00v0t,1 2  4 5 6 7
00y7p,1 2  4 5 6
019fg,3   6  8
019r1,0   3     8
01i5j,1 2  4 5 6 7
01is9,1 2 3 4 5 6 7
01mrb,1 2 3  5 6  8
01pyb,1 2 3  5 6  8
01s0p,0 1 2    6  8
01xsq,3     8
021oz,1 2  4 5 6 7
026nc,5 6
02bwy,1 2 3  5 6 7
02d9t,3  5
02eos,1 2   5 6  8
02fio,1 2 3  5 6  8
02pxt,3 4 5 6 7
02qrp,5 6  8
02rfd,2 3  5 6 7
0357u,0 1    5
035x6,1 2    6 7 8
038l4,1 2 3 4 5 6
03bbu,3     8
03ked,8
03m8y,0     5 6  8
03vx8,0   3     8
03yz9,0 1 2  4 5 6 7
040nh,0   3     8
042hy,0  2   5 6 7 8
044sl,5 6  8
045qe,1 2  4 5 6 7
04944,0  2 3  5 6  8
04cy7,8
04ilw,0        8
04imx,0        8
04kgm,1 2    6
04ud9,0 1     6  8
04wn2,1 2 3 4 5 6 7 8
04zgs,6  8
050l6,1 2 3  5 6 7 8
0573e,0  2   5 6  8
057qc,0   3     8
05fb2,0 1 2 3  5 6  8
05h9r,1 2   5 6 7
05ihx,0   3  5 6  8
05jhx,1 2  4 5 6 7
05rwc,1 2  4 5 6 7
06cko,1 2 3 4 5 6
06fzh,1 2 3 4 5 6 7
06gbm,0 1     6  8
06ml0,2 3  5 6
06p0g,1 2 3 4 5 6 7
06ums,1 2 3  5 6  8
06vhp,0        8
0707d,1 2 3  5 6 7
070ll,1 2  4 5 6 7
077lb,3  5 6  8
07bbs,0   3     8
07gmf,1 2  4 5 6 7
07nri,1 2   5 6  8
07o52,8
084gg,3   6  8
084v2,5 6  8
08dzw,0   3  5 6
08h8f,1 2 3 4 5 6 7
08ni5,5 6  8
08oeq,0  2   5 6 7 8
08wfz,1 2 3 4 5 6
0916a,0   3  5
092lt,1   4 5 6
098ef,0   3  5 6  8
098un,0  2 3  5 6  8
09ckq,2  4 5 6 7
09ejq,0        8
09iat,1 2 3 4 5 6
09kll,3     8
09pmi,0 1     6  8
09ptq,1 2   5 6  8
09w5k,1 2 3 4 5 6
0a1ko,0        8
0a45c,6  8
0a938,1 2 3  5 6  8
0adc9,1 2    6 7
0adst,0        8
0ahhr,6  8
0aj6u,3  5 6  8
0akmq,3     8
0au0t,0        8
0axc7,1 2 3  5 6 7 8
0axvc,1 2 3 4 5 6
0b8ky,1    5 6 7
0bcfg,1 2 3 4 5 6 7
0beyy,0        8
0bnm5,3  5 6  8
0bzjp,1 2  4 5 6 7
0bzjx,8
0c5ka,1 2 3  5 6 7 8
0cbyt,0        8
0cjq2,3     8
0cnbh,0 1 2 3  5 6 7
0cvd1,1 2  4 5 6 7
0cyxs,0   3     8
0dbg2,3  5   8
0ddwy,0 1  3     8
0dfrm,0   3  5   8
0div3,2    6  8
0djgl,1 2  4 5 6 7
0e2eh,1 2    6  8
0e3bg,1    5 6 7 8
0e3cn,2  4 5 6 7
0e69f,3
0eilg,3     8
0em68,1 2 3  5 6 7
0eolh,0   3  5   8
0eps4,0   3     8
0eqm9,6  8
0ey3w,1 2 3 4 5 6 7 8
0f3qk,0   3  5   8
0f46h,0   3     8
