business_id,labels
003sg,1 2 3  5 6  8
00er5,2 3   6  8
00kad,0   3   6  8
00mc6,3  5 6  8
00q7x,1 2   5 6  8
00v0t,1  3  5 6
00y7p,3  5 6  8
019fg,2   5 6  8
019r1,1     6  8
01i5j,3   6  8
01is9,6  8
01mrb,1 2 3  5 6
01pyb,0     5   8
01s0p,3  5 6  8
01xsq,1 2 3   6  8
021oz,1 2   5 6  8
026nc,1 2   5 6  8
02bwy,1 2 3   6  8
02d9t,2   5 6  8
02eos,1 2 3  5 6  8
02fio,5 6  8
02pxt,3  5 6  8
02qrp,1    5   8
02rfd,5 6  8
0357u,5 6  8
035x6,0 1 2 3   6  8
038l4,0     5   8
03bbu,2 3  5 6 7 8
03ked,3  5 6  8
03m8y,5 6  8
03vx8,1  3  5 6
03yz9,1  3  5 6
040nh,3  5 6  8
042hy,2   5 6  8
044sl,1 2 3  5 6
045qe,3   6  8
04944,1    5 6  8
04cy7,1 2   5 6  8
04ilw,2 3  5 6 7 8
04imx,2 3  5 6
04kgm,3  5
04ud9,1    5 6  8
04wn2,2 3  5 6  8
04zgs,0 1 2   5 6  8
050l6,1 2   5 6  8
0573e,1 2  4 5 6  8
057qc,1    5 6
05fb2,0 1 2    6
05h9r,3   6  8
05ihx,0 1    5 6  8
05jhx,1 2   5 6  8
05rwc,3  5 6  8
06cko,1    5 6  8
06fzh,2 3   6  8
06gbm,2    6  8
06ml0,1 2 3  5   8
06p0g,1 2 3  5 6  8
06ums,2 3  5 6  8
06vhp,3  5   8
0707d,0 1 2 3  5 6
070ll,5 6  8
077lb,1    5 6  8
07bbs,3  5 6  8
07gmf,1    5 6  8
07nri,1  3  5 6  8
07o52,1 2   5 6 7
084gg,0 1    5 6  8
084v2,2 3  5 6  8
08dzw,2 3   6  8
08h8f,1  3  5 6  8
08ni5,1 2   5 6  8
08oeq,3  5 6  8
08wfz,1    5 6  8
0916a,5 6  8
092lt,1 2 3  5 6  8
098ef,0 1 2 3   6  8
098un,5 6  8
09ckq,1  3  5 6  8
09ejq,0     5 6  8
09iat,2 3  5 6  8
09kll,0     5 6  8
09pmi,3   6  8
09ptq,1  3  5 6  8
09w5k,0     5 6  8
0a1ko,0 1 2   5 6
0a45c,0 1 2    6  8
0a938,5   8
0adc9,1 2 3  5 6 7 8
0adst,1 2   5 6  8
0ahhr,5 6  8
0aj6u,2   5 6  8
0akmq,2 3  5 6  8
0au0t,1  3  5 6  8
0axc7,3  5 6 7 8
0axvc,0 1 2   5 6
0b8ky,2 3  5 6
0bcfg,
0beyy,1 2  4 5 6  8
0bnm5,1 2   5 6  8
0bzjp,5 6  8
0bzjx,3  5 6  8
0c5ka,5 6  8
0cbyt,3  5 6  8
0cjq2,2   5 6  8
0cnbh,2 3  5 6  8
0cvd1,3  5 6  8
0cyxs,5 6  8
0dbg2,3  5   8
0ddwy,3   6  8
0dfrm,1    5 6  8
0div3,5 6  8
0djgl,5 6  8
0e2eh,0  2 3  5 6  8
0e3bg,2   5 6  8
0e3cn,5 6  8
0e69f,0  2   5 6  8
0eilg,2   5 6  8
0em68,0   3  5 6  8
0eolh,1    5 6  8
0eps4,3   6  8
0eqm9,2 3  5 6  8
